文本编号,局部连贯-CRFAO1（29）,局部连贯-CRFSO1（30）,局部连贯-LSASS1(40),整体连贯-CRFAOa（32）,整体连贯-CRFSOa（33）,整体连贯-LSASSp（42）,整体连贯-LSAPP1（44）,整体连贯-LSAGN（46）,年级
1.txt,0.61500001,0.153999999,0.179000005,0.776000023,0.128999993,0.188999996,0.488000005,0.305999994,1
10.txt,0.437999994,0.063000001,0.043000001,0.547999978,0.112999998,0.090999998,0.688000023,0.272000015,1
100.txt,0.437999994,0.125,0.082000002,0.522000015,0.052000001,0.081,0.246000007,0.232999995,1
11.txt,0.600000024,0.067000002,0.119000003,0.666999996,0.037999999,0.120999999,0.30399999,0.273000002,1
12.txt,0.526000023,0.104999997,0.097000003,0.393000007,0.055,0.067000002,0.449999988,0.238999993,1
13.txt,0.643000007,0.0,0.112999998,0.620999992,0.041999999,0.090999998,0.547999978,0.241999999,1
14.txt,0.61500001,0.0,0.172000006,0.70599997,0.152999997,0.214000002,0.384000003,0.296000004,1
15.txt,0.532999992,0.067000002,0.109999999,0.57099998,0.104999997,0.114,0.402999997,0.284000009,1
16.txt,0.800000012,0.5,0.170000002,0.654999971,0.400000006,0.167999998,0.549000025,0.298999995,1
17.txt,0.666999996,0.166999996,0.147,0.666999996,0.093000002,0.092,0.481000006,0.246999994,1
18.txt,0.455000013,0.090999998,0.048,0.462000012,0.061999999,0.037,0.338,0.181999996,1
19.txt,0.61500001,0.153999999,0.098999999,0.518000007,0.141000003,0.082000002,0.449000001,0.25,1
2.txt,0.42899999,0.214000002,0.165000007,0.453000009,0.094999999,0.129999995,0.38499999,0.287999988,1
20.txt,0.286000013,0.071000002,0.090999998,0.326000005,0.094999999,0.093999997,0.300000012,0.26699999,1
21.txt,0.57099998,0.214000002,0.072999999,0.504999995,0.179000005,0.071999997,0.370999992,0.254000008,1
22.txt,0.528999984,0.118000001,0.101000004,0.551999986,0.143999994,0.103,0.439999998,0.268999994,1
23.txt,0.600000024,0.0,0.064999998,0.389999986,0.086000003,0.041000001,0.233999997,0.225999996,1
24.txt,0.632000029,0.158000007,0.166999996,0.497000009,0.097000003,0.119999997,0.536000013,0.277999997,1
25.txt,0.5,0.082999997,0.116999999,0.600000024,0.093000002,0.128000006,0.42899999,0.243000001,1
26.txt,0.75,0.416999996,0.189999998,0.827000022,0.400000006,0.185000002,0.547999978,0.319000006,1
27.txt,0.635999978,0.363999993,0.131999999,0.708000004,0.185000002,0.108000003,0.236000001,0.254999995,1
28.txt,0.563000023,0.063000001,0.054000001,0.556999981,0.096000001,0.097999997,0.578000009,0.263999999,1
29.txt,0.537999988,0.0,0.059,0.528999984,0.082000002,0.064000003,0.467000008,0.241999999,1
3.txt,0.437999994,0.187999994,0.147,0.416999996,0.096000001,0.107000001,0.338999987,0.264999986,1
30.txt,0.713999987,0.143000007,0.103,0.82099998,0.32100001,0.143000007,0.356999993,0.238999993,1
31.txt,0.908999979,0.090999998,0.057,0.785000026,0.169,0.112999998,0.40200001,0.282000005,1
32.txt,0.462000012,0.153999999,0.079999998,0.541000009,0.128999993,0.083999999,0.375999987,0.233999997,1
33.txt,0.691999972,0.38499999,0.142000005,0.412,0.200000003,0.112999998,0.472000003,0.286000013,1
34.txt,0.363999993,0.0,0.098999999,0.27700001,0.030999999,0.063000001,0.279000014,0.221000001,1
35.txt,0.713999987,0.214000002,0.119000003,0.662999988,0.158000007,0.134000003,0.495000005,0.301999986,1
36.txt,0.5,0.0,0.164000005,0.507000029,0.079999998,0.120999999,0.282000005,0.261999995,1
