文本编号,短语长度-SYNLE（69）,短语长度-SYNNP（70）,短语密度-DRNP（76）,短语密度-DRVP（77）,短语密度-DRPP（79）,句子长度-DESSL（06）,句子结构-DRPVAL（80）,句子结构-DRNEG（81）,句子结构-DRINF（83）,句法相似-SYNSTRUTa（74）,句法相似-SYNSTRUTt（75）,年级
1.txt,2.071000099,0.488000005,309.2109985,296.053009,59.21099854,11.0,13.15799999,6.578999996,26.31599998,0.167999998,0.172999993,1
10.txt,2.529000044,0.672999978,316.0620117,238.3419952,93.26399994,11.4119997,0.0,10.36299992,15.54399967,0.160999998,0.162,1
100.txt,2.70600009,0.592999995,351.4849854,242.5740051,99.01000214,11.88199997,9.901000023,9.901000023,24.75200081,0.163000003,0.164000005,1
11.txt,1.812999964,0.44600001,333.3330078,291.0050049,89.9469986,11.875,0.0,10.58199978,21.16399956,0.150000006,0.130999997,1
12.txt,4.0,0.704999983,322.1149902,221.154007,81.73100281,10.44999981,0.0,9.614999771,24.03800011,0.145999998,0.159999996,1
13.txt,3.667000055,0.718999982,339.2070007,246.6959991,92.51100159,15.33300018,0.0,13.2159996,17.62100029,0.115999997,0.097000003,1
14.txt,3.357000113,0.522000015,363.2080078,212.2640076,136.7920074,15.14299965,4.717000008,4.717000008,9.434000015,0.116999999,0.125,1
15.txt,3.875,0.684000015,286.4079895,237.8639984,72.81600189,12.93799973,0.0,14.56299973,19.41699982,0.167999998,0.167999998,1
16.txt,2.273000002,0.600000024,325.4719849,245.2830048,94.33999634,19.27300072,0.0,0.0,14.15100002,0.093999997,0.097999997,1
17.txt,2.691999912,0.611999989,329.2680054,189.0240021,109.7559967,12.61499977,6.09800005,6.09800005,6.09800005,0.199000001,0.191,1
18.txt,3.332999945,0.853999972,302.0830078,255.2079926,98.95800018,16.25,0.0,20.83300018,20.83300018,0.112999998,0.108999997,1
19.txt,3.642999887,0.559000015,341.8370056,244.897995,76.53099823,14.14299965,0.0,10.20400047,10.20400047,0.119000003,0.128999993,1
2.txt,3.73300004,0.80400002,300.6130066,233.1289978,85.88999939,10.86699963,0.0,0.0,24.54000092,0.218999997,0.172999993,1
20.txt,5.333000183,0.643000007,313.4330139,263.6820068,74.6269989,13.60000038,4.974999905,14.92500019,14.92500019,0.112999998,0.123000003,1
21.txt,4.0,0.708000004,337.553009,248.9450073,109.7050018,15.80000019,8.43900013,8.43900013,33.75500107,0.118000001,0.138999999,1
22.txt,2.667000055,0.537999988,314.4100037,257.6419983,74.23600006,12.72200012,0.0,17.46699905,21.83399963,0.100000001,0.119000003,1
23.txt,1.937999964,0.518000007,335.07901,246.072998,94.24099731,11.93799973,5.236000061,5.236000061,15.70699978,0.093000002,0.112999998,1
24.txt,3.599999905,0.573000014,344.2619934,266.3930054,73.77100372,12.19999981,0.0,8.19699955,32.78699875,0.123000003,0.129999995,1
25.txt,3.38499999,0.569000006,350.0,212.5,118.75,12.38500023,0.0,6.25,18.75,0.163000003,0.143999994,1
26.txt,5.538000107,0.718999982,350.2109985,261.6029968,92.82700348,18.2310009,0.0,0.0,37.97499847,0.122000001,0.112999998,1
27.txt,4.916999817,0.545000017,350.0,211.1109924,100.0,15.08300018,0.0,16.66699982,11.11100006,0.150000006,0.144999996,1
28.txt,2.881999969,0.680000007,308.5710144,222.8569946,62.85699844,10.29399967,0.0,0.0,5.714000225,0.158999994,0.149000004,1
29.txt,2.928999901,0.574000001,318.9190063,275.6759949,75.6760025,13.35700035,5.40500021,10.81099987,10.81099987,0.134000003,0.140000001,1
3.txt,2.940999985,0.67900002,295.0,230.0,70.0,11.82400036,0.0,20.0,20.0,0.148000002,0.144999996,1
30.txt,5.125,0.91900003,300.0,207.1430054,100.0,17.625,0.0,21.42900085,7.143000126,0.079999998,0.090999998,1
31.txt,4.583000183,0.565999985,363.6359863,272.7269897,106.9520035,15.41699982,5.34800005,0.0,21.38999939,0.116999999,0.115999997,1
32.txt,3.642999887,0.439999998,287.8789978,287.8789978,65.65699768,14.21399975,0.0,5.051000118,30.3029995,0.090000004,0.082000002,1
33.txt,3.713999987,0.815999985,310.7340088,192.0899963,135.5930023,12.64299965,5.650000095,0.0,5.650000095,0.164000005,0.173999995,1
34.txt,3.417000055,0.674000025,296.9700012,272.7269897,78.78800201,14.08300018,12.12100029,30.3029995,12.12100029,0.130999997,0.111000001,1
35.txt,3.200000048,0.606999993,315.0679932,264.8399963,77.62599945,14.66699982,4.565999985,9.131999969,27.39699936,0.115999997,0.122000001,1
36.txt,4.769000053,0.702000022,311.0050049,244.0189972,114.8330002,16.30800056,0.0,14.35400009,19.13899994,0.125,0.094999999,1
37.txt,2.312999964,0.574000001,343.0230103,261.6279907,69.76699829,10.81299973,5.81400013,5.81400013,5.81400013,0.182999998,0.164000005,1
38.txt,3.812999964,0.626999974,330.1889954,259.4339905,80.18900299,13.25,0.0,4.717000008,28.30200005,0.103,0.103,1
39.txt,2.70600009,0.367000014,352.9410095,304.8129883,80.21399689,11.05900002,10.69499969,5.34800005,10.69499969,0.142000005,0.136000007,1
4.txt,6.900000095,0.593999982,371.7950134,233.973999,99.35900116,31.29999924,6.409999847,3.204999924,12.8210001,0.083999999,0.082999997,1
40.txt,2.210999966,0.680000007,311.355011,245.4210052,95.23799896,14.36800003,3.663000107,10.98900032,18.31500053,0.115000002,0.119999997,1
41.txt,4.846000195,0.648000002,374.302002,245.8099976,94.97200012,13.84599972,0.0,5.586999893,16.76000023,0.116999999,0.116999999,1
42.txt,5.922999859,0.547999978,363.6359863,282.8280029,116.1620026,15.23099995,0.0,0.0,30.3029995,0.123000003,0.136000007,1
43.txt,2.221999884,0.628000021,300.54599,267.7600098,120.2190018,20.33300018,10.9289999,5.464000225,32.78699875,0.090000004,0.086000003,1
44.txt,3.625,0.676999986,323.1440125,275.1090088,82.96900177,14.31299973,8.734000206,4.367000103,17.46699905,0.172999993,0.160999998,1
45.txt,2.181999922,0.675000012,288.5910034,255.0339966,60.40299988,13.54500008,0.0,0.0,26.84600067,0.137999997,0.141000003,1
46.txt,2.786000013,0.742999971,353.7120056,218.3410034,78.60299683,16.5,0.0,21.83399963,21.83399963,0.101999998,0.075999998,1
47.txt,2.832999945,0.541000009,340.1019897,253.8070068,86.29399872,10.94400024,5.076000214,0.0,20.30500031,0.187000006,0.172999993,1
48.txt,4.230999947,0.737999976,290.322998,193.5480042,103.2259979,11.92300034,0.0,0.0,6.452000141,0.166999996,0.136999995,1
49.txt,3.332999945,0.5,315.4360046,268.4559937,67.11399841,12.41699982,0.0,6.710999966,26.84600067,0.141000003,0.137999997,1
5.txt,2.61500001,0.616999984,324.8410034,267.5159912,76.43299866,12.07699966,6.368999958,0.0,31.84700012,0.127000004,0.143999994,1
50.txt,3.454999924,0.772000015,331.7070007,253.6589966,107.3170013,18.72699928,4.877999783,9.755999565,24.38999939,0.078000002,0.088,1
51.txt,3.532999992,0.515999973,357.1430054,276.1900024,90.47599792,14.19999981,0.0,19.04800034,23.80999947,0.128000006,0.123000003,1
52.txt,3.786000013,0.588999987,347.3680115,247.3679962,100.0,13.5710001,0.0,0.0,26.31599998,0.092,0.100000001,1
53.txt,5.166999817,0.603999972,317.4599915,253.9680023,89.9469986,15.83300018,0.0,10.58199978,26.45499992,0.149000004,0.119999997,1
54.txt,4.09100008,0.713999987,314.1359863,303.6650085,89.00499725,17.54500008,0.0,10.47099972,36.64899826,0.107000001,0.098999999,1
55.txt,3.635999918,0.721000016,363.6359863,207.272995,101.8180008,12.5909996,7.272999763,14.54500008,3.635999918,0.108999997,0.115999997,1
56.txt,5.083000183,0.433999985,312.1690063,301.5870056,74.0739975,15.83300018,5.290999889,5.290999889,5.290999889,0.127000004,0.123000003,1
57.txt,3.437999964,0.754999995,335.1350098,172.9730072,124.3239975,11.56299973,5.40500021,10.81099987,0.0,0.157000005,0.166999996,1
58.txt,3.700000048,0.646000028,367.4700012,246.9880066,102.4100037,16.60000038,12.04800034,0.0,36.14500046,0.123999998,0.096000001,1
59.txt,3.700000048,0.680000007,358.3330078,204.1670074,116.6669998,12.0,0.0,4.166999817,12.5,0.151999995,0.151999995,1
6.txt,2.923000097,0.787,316.4559937,259.493988,75.9489975,12.15400028,0.0,0.0,31.64599991,0.180000007,0.152999997,1
60.txt,3.667000055,0.603999972,352.6010132,236.9940033,98.26599884,14.41699982,0.0,0.0,17.3409996,0.148000002,0.109999999,1
61.txt,4.928999901,0.623000026,321.4289856,244.897995,137.7550049,14.0,20.40800095,5.102000237,20.40800095,0.086000003,0.093999997,1
62.txt,3.38499999,0.405000001,318.1820068,259.7399902,58.44200134,11.92300034,0.0,19.4810009,19.4810009,0.133000001,0.136999995,1
63.txt,6.099999905,0.647000015,338.9119873,242.6779938,83.68199921,24.29999924,0.0,16.73600006,33.47299957,0.075999998,0.077,1
64.txt,2.933000088,0.635999978,338.4620056,241.026001,87.17900085,13.06700039,0.0,10.25599957,20.51300049,0.130999997,0.128000006,1
65.txt,3.5,0.593999982,308.0169983,244.7259979,80.16899872,11.94999981,0.0,8.43900013,8.43900013,0.180000007,0.187999994,1
66.txt,3.75,0.493000001,344.8280029,254.3099976,103.447998,14.56299973,0.0,4.309999943,21.55200005,0.108000003,0.130999997,1
67.txt,2.477999926,0.726999998,333.3330078,248.0619965,96.89900208,11.26099968,3.875999928,3.875999928,7.751999855,0.156000003,0.158999994,1
68.txt,2.700000048,0.63499999,359.6059875,295.5669861,83.7440033,10.19999981,4.926000118,9.852000237,49.26100159,0.178000003,0.187999994,1
69.txt,3.928999901,0.72299999,333.3330078,252.1369934,76.92299652,16.7140007,0.0,4.274000168,29.91500092,0.105999999,0.107000001,1
7.txt,6.599999905,0.57099998,360.5440063,244.897995,102.0410004,14.69999981,0.0,0.0,13.60499954,0.224999994,0.178000003,1
70.txt,3.286000013,0.712000012,354.1669922,218.75,67.70800018,13.71399975,0.0,0.0,15.625,0.093999997,0.103,1
71.txt,3.538000107,0.783999979,329.730011,210.8110046,102.7030029,14.15400028,5.40500021,5.40500021,5.40500021,0.119999997,0.119000003,1
72.txt,3.428999901,0.671000004,366.6669922,241.6670074,83.33300018,11.4289999,4.166999817,0.0,16.66699982,0.177000001,0.170000002,1
73.txt,2.928999901,0.703000009,311.2030029,257.2609863,95.43599701,17.2140007,0.0,4.149000168,20.74699974,0.093999997,0.098999999,1
74.txt,2.5,0.610000014,308.2189941,239.7259979,82.19200134,10.4289999,0.0,0.0,20.54800034,0.148000002,0.158999994,1
75.txt,2.881999969,0.49000001,319.5270081,260.355011,76.92299652,9.940999985,0.0,0.0,17.75099945,0.149000004,0.150999993,1
76.txt,1.667000055,0.652999997,373.9500122,239.4960022,79.83200073,15.86699963,4.202000141,4.202000141,25.20999908,0.098999999,0.104999997,1
77.txt,2.142999887,0.518999994,365.7139893,251.4290009,74.28600311,12.5710001,5.714000225,5.714000225,11.4289999,0.142000005,0.131999999,1
78.txt,2.888999939,0.800000012,346.3039856,214.0079956,124.5139999,14.27799988,3.891000032,3.891000032,11.67300034,0.142000005,0.128999993,1
79.txt,3.076999903,0.56099999,336.7349854,239.7960052,107.1429977,15.23099995,0.0,10.20400047,0.0,0.119999997,0.129999995,1
8.txt,3.0,0.782000005,348.8370056,250.0,93.02300262,11.46700001,0.0,0.0,23.25600052,0.137999997,0.115000002,1
80.txt,4.777999878,0.625,348.3869934,193.5480042,103.2259979,17.33300018,0.0,12.90299988,6.452000141,0.129999995,0.128999993,1
81.txt,3.132999897,0.555999994,344.0859985,301.0750122,75.26899719,12.39999962,0.0,10.75300026,32.25799942,0.164000005,0.135000005,1
82.txt,4.0,0.513999999,353.7120056,227.0740051,100.4369965,12.72200012,4.367000103,4.367000103,13.10000038,0.128000006,0.107000001,1
83.txt,3.26699996,0.509000003,292.3080139,276.9230042,87.17900085,13.13300037,0.0,15.38500023,5.127999783,0.162,0.136999995,1
