文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K1,复杂度-K2,复杂度-K3,复杂度-K4,复杂度-K5,复杂度-K6+,年级
1.txt,59.24900055,2.395999908,92.903,3.226,3.226,0.645,0.0,0.0,1
10.txt,89.56600189,2.27699995,88.144,6.186,2.062,3.093,0.0,0.0,1
100.txt,106.9749985,2.260999918,84.653,8.416,3.96,1.485,1.485,0.0,1
11.txt,77.30200195,2.480000019,87.5,6.25,1.562,0.0,1.042,0.521,1
12.txt,83.12200165,2.09800005,82.464,9.479,2.37,2.37,1.422,1.422,1
13.txt,94.19300079,2.359999895,89.912,7.018,1.754,0.877,0.439,0.0,1
14.txt,82.52700043,2.240999937,89.302,6.047,1.395,1.86,1.395,0.0,1
15.txt,99.375,2.431999922,90.952,4.762,0.952,1.905,1.429,0.0,1
16.txt,96.17099762,2.339999914,90.698,5.581,2.326,0.93,0.465,0.0,1
17.txt,78.78600311,2.252000093,83.636,7.273,4.242,1.212,1.212,0.606,1
18.txt,143.9420013,2.250999928,86.528,6.736,3.109,1.036,1.554,1.036,1
19.txt,113.7450027,2.171000004,82.915,10.05,3.518,1.508,1.508,0.503,1
2.txt,73.51599884,2.270999908,87.349,8.434,0.602,1.807,1.205,0.0,1
20.txt,135.5780029,2.121999979,88.177,3.941,2.463,1.97,1.478,1.478,1
21.txt,80.31999969,2.444000006,89.451,5.063,2.954,0.844,1.266,0.422,1
22.txt,110.8669968,2.348999977,90.948,6.034,0.431,1.293,0.862,0.0,1
23.txt,125.4280014,2.415999889,88.144,6.186,3.093,1.546,0.515,0.515,1
24.txt,75.04000092,2.415999889,88.571,6.939,2.449,1.224,0.408,0.408,1
25.txt,71.77400208,2.278000116,88.344,4.908,1.84,1.84,1.84,0.613,1
26.txt,71.76899719,2.430000067,87.448,8.368,1.674,0.837,0.837,0.836,1
27.txt,86.05799866,2.354000092,87.432,5.464,2.186,2.732,1.639,0.0,1
28.txt,84.60700226,2.322000027,85.311,7.91,4.52,1.13,0.0,1.13,1
29.txt,99.85700226,2.484999895,93.048,2.139,1.604,1.604,0.535,0.535,1
3.txt,90.97899628,2.454999924,88.119,5.941,3.465,1.485,0.99,0.0,1
30.txt,79.08899689,2.094000101,84.722,9.028,0.0,2.083,2.083,1.388,1
31.txt,76.24900055,2.272000074,89.362,7.979,0.532,1.596,0.0,0.532,1
32.txt,79.76899719,2.358999968,86.5,7.0,4.5,0.5,1.0,0.5,1
33.txt,87.94000244,2.154999971,86.034,6.145,4.469,1.676,0.559,1.118,1
34.txt,113.7890015,2.378999949,90.476,4.762,2.976,1.19,0.0,0.595,1
35.txt,87.13500214,2.316999912,85.65,7.175,4.933,1.345,0.897,0.0,1
36.txt,88.46600342,2.289999962,88.995,6.699,1.914,1.435,0.957,0.0,1
37.txt,67.24700165,2.404000044,88.439,7.514,0.578,1.156,2.312,0.0,1
38.txt,74.9260025,2.426000118,91.667,4.63,0.926,0.926,0.926,0.463,1
39.txt,80.26200104,2.480999947,89.247,6.989,2.688,0.538,0.538,0.0,1
4.txt,60.00699997,2.367000103,85.489,8.833,2.839,1.577,0.946,0.315,1
40.txt,92.04799652,2.381000042,89.744,6.227,2.93,0.366,0.733,0.0,1
41.txt,95.44200134,2.232000113,84.27,8.989,2.247,2.247,1.124,1.124,1
42.txt,70.95600128,2.085999966,84.08,8.458,2.488,1.493,1.99,0.995,1
43.txt,90.67500305,2.279000044,83.152,10.326,3.804,0.543,1.63,0.543,1
44.txt,105.3249969,2.301000118,87.879,7.359,3.03,0.866,0.433,0.433,1
45.txt,75.52300262,2.358999968,86.275,7.843,0.654,2.614,1.961,0.654,1
46.txt,110.3379974,2.127000093,85.281,6.061,4.762,1.732,2.165,0.0,1
47.txt,74.23000336,2.382999897,90.355,6.599,1.015,1.015,1.015,0.0,1
48.txt,134.2749939,2.088999987,81.529,10.828,3.185,1.911,0.637,1.274,1
49.txt,73.68299866,2.467000008,90.667,4.667,2.0,1.333,1.333,0.0,1
5.txt,62.77099991,2.318000078,86.709,5.063,3.797,2.532,1.266,0.633,1
50.txt,87.6989975,2.267999887,88.889,6.763,3.865,0.0,0.483,0.0,1
51.txt,81.39800262,2.436000109,90.61,3.756,1.878,1.408,0.469,1.408,1
52.txt,106.663002,2.381000042,86.458,6.771,4.167,0.521,1.562,0.521,1
53.txt,113.189003,2.453000069,89.418,7.407,1.058,0.529,1.058,0.529,1
54.txt,79.01699829,2.338999987,90.155,4.663,4.145,0.518,0.518,0.0,1
55.txt,86.85099792,2.260999918,87.097,8.602,1.434,0.717,1.792,0.0,1
56.txt,72.25299835,2.296000004,84.817,9.424,2.618,1.047,1.047,0.524,1
57.txt,82.22200012,2.388999939,91.444,5.348,1.07,1.07,1.07,0.0,1
58.txt,73.27200317,2.111999989,76.647,17.964,2.994,1.198,1.198,0.0,1
59.txt,92.2440033,2.328000069,85.537,7.438,4.132,1.653,0.826,0.413,1
6.txt,70.61799622,2.328000069,88.679,6.289,1.887,1.258,1.258,0.629,1
60.txt,79.30899811,2.275000095,85.714,6.857,4.571,1.143,1.714,0.0,1
