文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级
1.txt,152,14,1
10.txt,193,17,1
100.txt,202,17,1
11.txt,189,16,1
12.txt,208,20,1
13.txt,227,15,1
14.txt,212,14,1
15.txt,206,16,1
16.txt,212,11,1
17.txt,164,13,1
18.txt,192,12,1
19.txt,196,14,1
2.txt,163,15,1
20.txt,201,15,1
21.txt,237,15,1
22.txt,229,18,1
23.txt,191,16,1
24.txt,244,20,1
25.txt,160,13,1
26.txt,237,13,1
27.txt,180,12,1
28.txt,175,17,1
29.txt,185,14,1
3.txt,200,17,1
30.txt,140,8,1
31.txt,187,12,1
32.txt,198,14,1
33.txt,177,14,1
34.txt,165,12,1
35.txt,219,15,1
36.txt,209,13,1
37.txt,172,16,1
38.txt,212,16,1
39.txt,187,17,1
4.txt,312,10,1
40.txt,273,19,1
41.txt,179,13,1
42.txt,198,13,1
43.txt,183,9,1
44.txt,229,16,1
45.txt,149,11,1
46.txt,229,14,1
47.txt,197,18,1
48.txt,155,13,1
49.txt,149,12,1
5.txt,157,13,1
50.txt,205,11,1
51.txt,210,15,1
52.txt,190,14,1
53.txt,189,12,1
54.txt,191,11,1
55.txt,275,22,1
56.txt,189,12,1
57.txt,185,16,1
58.txt,166,10,1
59.txt,240,20,1
6.txt,158,13,1
60.txt,173,12,1
61.txt,196,14,1
62.txt,154,13,1
63.txt,239,10,1
64.txt,195,15,1
65.txt,237,20,1
66.txt,232,16,1
67.txt,258,23,1
68.txt,203,20,1
69.txt,234,14,1
7.txt,147,10,1
70.txt,192,14,1
71.txt,185,13,1
72.txt,240,21,1
73.txt,241,14,1
74.txt,146,14,1
75.txt,169,17,1
76.txt,238,15,1
77.txt,175,14,1
78.txt,257,18,1
79.txt,196,13,1
8.txt,172,15,1
80.txt,155,9,1
81.txt,186,15,1
82.txt,229,18,1
83.txt,195,15,1
84.txt,214,15,1
85.txt,257,23,1
86.txt,223,17,1
87.txt,211,18,1
88.txt,167,10,1
89.txt,168,15,1
9.txt,195,14,1
90.txt,191,16,1
91.txt,143,14,1
92.txt,267,20,1
93.txt,223,20,1
94.txt,176,9,1
95.txt,214,15,1
96.txt,187,20,1
97.txt,300,15,1
98.txt,192,13,1
99.txt,184,16,1
1.txt,151,12,2
10.txt,182,14,2
100.txt,306,18,2
