文本编号,单词数量-DESWC-03,句子数量-DESSC-02,年级,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,复杂度-K,句子长度-DESSL（06）,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT,局部连贯-LocalCoherence,整体连贯-GlobalCoherence,因果衔接-SMCAUSr-64,意图衔接-SMINTEr-65,时体衔接-SMTEMP-68,段落平均长度-DESPL-04,段落平均长度标准差-DESPLd-05
1.txt,152.0,14.0,1,59.24900055,2.395999908,7.414108719391692,11.0,1.279500052,221.49166868,15.350999988666668,0.1704999955,0.3160000046666666,0.2216665689413687,0.200000003,0.300000012,0.922999978,7.0,0.0
1.txt,151.0,12.0,2,66.0510025,2.302000046,1.970583609561018,12.58300018,1.8250000175,211.92066444666668,8.830333391666667,0.1414999965,,,0.713999987,0.555999994,0.908999979,6.0,0.0
1.txt,199.0,10.0,3,100.0490036,2.029999971,-6.16604683544378,20.0,3.86800006,209.37999726,13.400666553333332,0.0665000005,0.363666666,0.3718156240507232,0.166999996,0.5,1.0,5.0,0.0
10.txt,193.0,17.0,1,89.56600189,2.27699995,2.300344143671282,11.4119997,1.601000011,215.88933561333332,8.63566653,0.161499999,,,0.333000004,0.222000003,0.75,8.5,0.707000017
10.txt,182.0,14.0,2,81.03500366,2.095000029,-2.830761875720455,13.0,2.1434999405,249.0843277,12.820666312,0.1414999965,0.2736666746666666,-0.2345310706807122,0.0,0.555999994,1.0,7.0,4.243000031
10.txt,191.0,18.0,3,105.4850006,2.301000118,0.2757370056084767,10.66699982,2.1824999455,221.64066061333332,13.96133296,0.163500004,0.1576666669999999,-0.1769473766132732,0.111000001,0.143000007,0.764999986,9.0,1.414000034
100.txt,202.0,17.0,1,106.9749985,2.260999918,-2.0142090308042953,11.88199997,1.6495000425,231.0229975466667,14.851333618666668,0.163500004,0.2149999986666666,-0.0877770370982324,0.100000001,0.166999996,0.875,8.5,0.707000017
100.txt,306.0,18.0,2,,,,17.05599976,2.332000017,198.25700124,8.714666366666666,0.0890000015,0.3073333376666666,0.0018194484235687,0.0,0.833000004,0.912,9.0,4.243000031
100.txt,244.0,18.0,3,107.7249985,2.246000051,-0.1050954623568145,13.55599976,2.7414998710000003,225.4096679666667,15.027333103333332,0.1190000025,0.2050000006666666,-0.1577557188628395,0.375,0.57099998,0.764999986,9.0,4.243000031
11.txt,189.0,16.0,1,77.30200195,2.480000019,2.166096511211421,11.875,1.129499987,238.09500376666668,10.58199978,0.1405000015,0.2620000096666666,0.0646829599478628,0.25,0.363999993,0.933000028,8.0,4.243000031
11.txt,199.0,14.0,2,69.28099823,2.188999891,0.4622288588782623,14.21399975,2.4829999505,239.53100586666665,6.700000126666667,0.127999999,0.283000005,0.0178135385376499,0.0,0.333000004,0.808000028,7.0,1.414000034
11.txt,170.0,13.0,3,62.74000168,2.138999939,-6.126061909919542,13.0,2.9199999275,198.0389963766667,0.0,0.1604999975,0.336666666,0.1023354956407442,0.0,0.0,1.0,6.5,0.707000017
12.txt,208.0,20.0,1,,,,10.44999981,2.3524999915,208.3333333366667,11.217666627,0.152999997,0.2426666743333333,-0.1837802808215043,0.300000012,0.181999996,0.947000027,10.0,2.828000069
12.txt,129.0,12.0,2,79.52300262,2.214999914,-3.1414783338086636,10.75,2.0884999635,217.05400340000003,12.919999758333333,0.1499999985,,,0.125,0.222000003,0.818000019,6.0,4.243000031
12.txt,197.0,12.0,3,69.51399994,2.318000078,0.5915610497949615,16.58300018,1.621500015,223.35033162,8.460000358,0.0985000024999999,0.399666667,0.2206668471163139,,,,6.0,1.414000034
13.txt,227.0,15.0,1,94.19300079,2.359999895,3.8846537546282742,15.33300018,2.1930000185,226.13800046333333,10.278999963333334,0.1065,0.2520000016666667,0.0514425369463673,0.200000003,0.444000006,0.856999993,7.5,2.121000051
13.txt,151.0,12.0,2,88.6210022,2.085999966,-3.3742400997913364,12.58300018,1.7500000295,238.41066739,15.452666603333334,0.126499999,0.3176666596666666,0.046167776020343,0.125,0.286000013,0.954999983,6.0,1.414000034
13.txt,194.0,18.0,3,73.04799652,2.203000069,-3.921713486561586,10.88899994,1.7595000565,216.49500023333337,10.309333326666666,0.159999996,0.19933333,-0.0642767873414553,0.273000002,0.38499999,0.940999985,9.0,1.414000034
