文本编号,句子长度-DESSL（06）,年级,短语长度-PhraseLength,短语密度-PhraseDensity,句子结构-SentenceStructure,句法相似-SYNSTRUT
1.txt,11.0,1,1.279500052,221.49166867999998,15.350999988666667,0.1704999955
10.txt,11.4119997,1,1.601000011,215.88933561333332,8.63566653,0.161499999
100.txt,11.88199997,1,1.6495000425,231.0229975466667,14.851333618666667,0.163500004
11.txt,11.875,1,1.129499987,238.09500376666668,10.58199978,0.1405000015
12.txt,10.44999981,1,2.3524999915,208.3333333366667,11.217666627,0.152999997
13.txt,15.33300018,1,2.1930000185,226.13800046333333,10.278999963333334,0.1065
14.txt,15.14299965,1,1.939500064,237.42134093333334,6.289333343666667,0.1209999995
15.txt,12.93799973,1,2.2795000075,199.02932993,11.326666516666668,0.167999998
16.txt,19.27300072,1,1.4365000129999999,221.69832868,4.717000006666667,0.095999997
17.txt,12.61499977,1,1.6519999505,209.3493347333333,6.09800005,0.1950000005
18.txt,16.25,1,2.0934999585,218.74966686000002,13.888666786666667,0.1109999975
19.txt,14.14299965,1,2.100999951,221.0886662766667,6.802666980000001,0.123999998
2.txt,10.86699963,1,2.26850003,206.54400126333334,8.180000306666667,0.19599999499999998
20.txt,13.60000038,1,2.9880000950000003,217.2473398666667,11.608333428333333,0.11800000050000001
21.txt,15.80000019,1,2.354000002,232.0676727,16.87766711,0.1285
22.txt,12.72200012,1,1.6025000215,215.42933402000003,13.100332893333333,0.109500002
23.txt,11.93799973,1,1.2279999855000001,225.13100177,8.726333300666667,0.10300000000000001
24.txt,12.19999981,1,2.0864999595,228.14200083999995,13.661332766666668,0.126499999
25.txt,12.38500023,1,1.976999998,227.08333333333334,8.333333333333334,0.1534999985
26.txt,18.2310009,1,3.1285000445,234.88033292666668,12.658332823333334,0.11749999950000001
27.txt,15.08300018,1,2.730999917,220.3703308,9.259333293333334,0.147500001
28.txt,10.29399967,1,1.780999988,198.09500247999998,1.9046667416666667,0.153999999
29.txt,13.35700035,1,1.751499951,223.42366789999997,9.008999983333334,0.137000002
3.txt,11.82400036,1,1.8100000025,198.33333333333334,13.333333333333334,0.146499999
30.txt,17.625,1,3.022000015,202.3810018,9.524000325333335,0.085499998
31.txt,15.41699982,1,2.5745000840000003,247.77165983333336,8.91266648,0.116499998
32.txt,14.21399975,1,2.0414999425,213.80499776,11.784666539333331,0.08600000299999999
33.txt,12.64299965,1,2.264999986,212.80566913333334,3.7666667300000003,0.16899999999999998
35.txt,14.66699982,1,1.9035000205000001,219.17799631666665,13.698333104666666,0.118999999
36.txt,16.30800056,1,2.7355000375,223.28566743333332,11.164333343333334,0.1099999995
37.txt,10.81299973,1,1.4434999825,224.8059997633333,5.81400013,0.1735000015
38.txt,13.25,1,2.219999969,223.27066296333336,11.006333352666667,0.103
39.txt,11.05900002,1,1.5365000519999998,245.9893315633333,8.912666476666667,0.139000006
40.txt,14.36800003,1,1.4454999865,217.33800505333332,10.989000318999999,0.11749999950000001
41.txt,13.84599972,1,2.7470000985,238.36133324,7.449000041000001,0.116999999
42.txt,15.23099995,1,3.2354999185,254.20866393333336,10.100999833333333,0.129500005
43.txt,20.33300018,1,1.4249999525000001,229.50833386666667,16.393332958333335,0.0880000035
44.txt,14.31299973,1,2.150999993,227.07400769,10.189333119666665,0.1669999955
45.txt,13.54500008,1,1.428499967,201.34266662666667,8.94866689,0.1395
46.txt,16.5,1,1.7644999920000002,216.88533527666664,14.555999753333333,0.088999998
47.txt,10.94400024,1,1.6869999770000002,226.73433174000002,8.460333508,0.1799999995
48.txt,11.92300034,1,2.4844999615,195.69900003333336,2.150666713666667,0.1519999955
49.txt,12.41699982,1,1.9164999725,217.00199890333337,11.185666878666666,0.1395
5.txt,12.07699966,1,1.615999997,222.9299977533333,12.738666692666667,0.13549999899999998
50.txt,18.72699928,1,2.1134999695,230.89433286666667,13.007999579333335,0.08300000099999999
51.txt,14.19999981,1,2.0244999825,241.26966857333332,14.285999936666668,0.12550000449999998
52.txt,13.5710001,1,2.1875,231.57866923333336,8.771999993333333,0.0960000005
53.txt,15.83300018,1,2.8854998944999997,220.4583308,12.345666566666665,0.1345000005
54.txt,17.54500008,1,2.4025000335,235.60199735,15.706665993333333,0.10300000000000001
55.txt,12.5909996,1,2.178499967,224.24232736666667,8.484666587,0.11249999699999999
56.txt,15.83300018,1,2.758500084,229.2766698,5.290999889,0.1250000035
57.txt,11.56299973,1,2.0964999795,210.8106715,5.40533336,0.16200000050000002
58.txt,16.60000038,1,2.173000038,238.9560038333333,16.0643336,0.1099999995
59.txt,12.0,1,2.1900000275,226.389005,5.555666605666667,0.151999995
6.txt,12.15400028,1,1.8550000485,217.29965973333336,10.548666636666667,0.16650000199999998
60.txt,14.41699982,1,2.1355000134999997,229.28700511333332,5.7803332,0.1290000005
62.txt,11.92300034,1,1.8949999954999999,212.12133278000002,12.987333933333334,0.134999998
64.txt,13.06700039,1,1.784500033,222.22233581666669,10.256333353333334,0.12950000150000002
65.txt,11.94999981,1,2.046999991,210.97066497333333,5.626000086666667,0.18400000049999998
66.txt,14.56299973,1,2.1215000005,234.1953328333333,8.620666664333333,0.1195
67.txt,11.26099968,1,1.602499962,226.09800212666664,5.167999903666667,0.15749999850000002
69.txt,16.7140007,1,2.3259999455,220.79766590666668,11.396333696,0.1065
70.txt,13.71399975,1,1.9990000125,213.54166412666666,5.208333333333333,0.09849999849999999
71.txt,14.15400028,1,2.161000043,214.41467283333336,5.40500021,0.1195
72.txt,11.4289999,1,2.0499999525,230.5556665933333,6.944666545666667,0.1735000015
73.txt,17.2140007,1,1.815999955,221.29999540333333,8.298666636,0.096499998
74.txt,10.4289999,1,1.555000007,210.04566444666668,6.849333446666667,0.153499998
75.txt,9.940999985,1,1.6859999895000002,218.93500520666666,5.916999816666666,0.1499999985
76.txt,15.86699963,1,1.160000026,231.09267171,11.204666454,0.10199999800000001
77.txt,12.5710001,1,1.3309999405000001,230.47633110333334,7.619000116666666,0.137000002
78.txt,14.27799988,1,1.8444999755,228.27532703333335,6.485000134666667,0.135499999
79.txt,15.23099995,1,1.8189999465,227.89132943333334,3.4013334900000003,0.124999996
8.txt,11.46700001,1,1.8910000025,230.62000274000002,7.752000173333333,0.12649999950000002
80.txt,17.33300018,1,2.701499939,215.05366516666666,6.451666673666666,0.129499994
81.txt,12.39999962,1,1.8444999455,240.14333596333336,14.336999893333333,0.149500005
82.txt,12.72200012,1,2.2569999995,227.07433573333333,7.278000195333334,0.1175000035
83.txt,13.13300037,1,1.8879999815000001,218.80333965,6.837666671,0.1494999975
84.txt,14.2670002,1,1.7240000365,235.20233152,7.788000106666666,0.1175
85.txt,11.17399979,1,1.3839999435,204.92867405666667,5.188000043333333,0.14350000000000002
86.txt,13.11800003,1,1.9489999709999999,239.16299946666666,4.484333356666666,0.131999999
87.txt,11.72200012,1,1.722000003,222.74899800000003,7.898666858000001,0.1625000015
88.txt,16.70000076,1,3.1444999575,213.57266744333333,7.984000205333333,0.1085
89.txt,11.19999981,1,1.911499977,224.20633699333334,5.952333290333333,0.192999996
9.txt,14.0,1,1.642999947,232.47867076666668,6.837333045333334,0.1125000005
90.txt,12.0,1,1.620999992,230.36633299999997,6.980999947000001,0.136
92.txt,13.35000038,1,2.2485000195000002,209.73799642333336,11.235999741666665,0.09950000049999999
93.txt,11.19999981,1,1.3505000470000001,231.68899789333332,11.958333334333332,0.158
94.txt,19.55599976,1,2.51000011,246.21199543333333,3.788000106666667,0.0840000025
95.txt,14.46700001,1,2.52700001,228.97166952,14.018666903333333,0.137000002
97.txt,20.13299942,1,3.0130001005,216.66666920666668,7.777666648333334,0.087500002
98.txt,14.84599972,1,2.516500056,223.95800526000002,17.36100006,0.10350000100000001
99.txt,11.625,1,2.061999977,222.8263346,9.058000246666667,0.151999995
1.txt,12.58300018,2,1.8250000174999998,211.92066444666668,8.830333391666667,0.1414999965
10.txt,13.0,2,2.1434999405,249.0843277,12.820666312,0.1414999965
100.txt,17.05599976,2,2.332000017,198.25700124,8.714666366666666,0.08900000150000001
11.txt,14.21399975,2,2.4829999505,239.53100586666665,6.700000126666667,0.127999999
12.txt,10.75,2,2.0884999635,217.05400340000003,12.919999758333333,0.1499999985
13.txt,12.58300018,2,1.7500000295,238.41066739,15.452666603333334,0.126499999
14.txt,12.33300018,2,2.2940000295,225.80633036333333,5.376333396,0.0899999995
15.txt,14.0710001,2,2.1075000465,223.35033163333333,3.384000143333333,0.131500002
16.txt,11.35299969,2,2.017999977,236.6150004033333,13.816667080999999,0.1445000025
17.txt,13.33300018,2,2.519000083,214.58333333333334,8.333333333333334,0.067500001
18.txt,11.81299973,2,1.2265000045,218.69466910000003,5.290999889666667,0.149500005
19.txt,11.85700035,2,1.8055000005,238.95566559666665,16.064000446666668,0.1405000015
2.txt,12.0,2,1.717999965,217.20432535,10.752666633666665,0.1154999995
20.txt,13.56299973,2,2.6070001124999997,221.19799806666666,3.0719998680000002,0.120500002
21.txt,11.0,2,1.731000006,229.2870051,13.487333139999999,0.1215000005
22.txt,13.75,2,1.705000013,230.3030064666667,6.060666403333333,0.129999999
23.txt,12.5,2,2.117999941,240.00000254666665,5.714333216666667,0.134999998
24.txt,16.16699982,2,2.150000006,219.93133546666664,8.59133339,0.1119999995
25.txt,14.66699982,2,2.204000026,250.00033316666668,13.25766627,0.129000001
26.txt,16.36400032,2,3.1684999765,227.77766926666663,9.259666762,0.11500000199999999
27.txt,11.13300037,2,1.7765000465,207.58466591,9.979999858666666,0.147
28.txt,17.5,2,1.865500003,211.11099750666668,14.285999934666668,0.1054999975
29.txt,11.53800011,2,1.709499955,219.99967192666668,22.22200012,0.130499996
3.txt,13.15400028,2,1.8674999775,213.72533673333336,11.764666556333333,0.137000002
30.txt,17.33300018,2,3.5635000464999997,209.40166473333332,14.957667033333331,0.083999999
32.txt,15.375,2,2.260500014,238.48233033333335,5.420000076,0.1550000015
33.txt,14.69200039,2,2.666999966,218.08499654,14.184333325666666,0.1160000005
34.txt,12.76900005,2,1.360999972,226.90766143,8.032000222666667,0.1030000005
35.txt,10.25,2,1.3069999965,224.9323349,5.420000076,0.1575000065
36.txt,12.85700035,2,1.993999988,198.14799501333334,9.259333293333334,0.109000001
37.txt,15.66699982,2,1.784500003,237.58866883333334,8.865333399,0.12549999750000002
38.txt,15.76900005,2,2.6659998895,215.68600463666667,3.267999966666667,0.091499999
39.txt,14.66699982,2,2.16049999,196.19033049666666,17.14299965,0.07400000100000001
4.txt,16.10000038,2,2.706499964,229.16666666666666,8.333333333333334,0.12400000150000001
41.txt,10.0,2,1.574000031,216.34600065333336,11.218000253,0.126000002
42.txt,11.29399967,2,1.831499994,215.78933207999998,8.771666527333332,0.118999999
43.txt,9.055999756,2,1.18599996,204.49900307,4.090000152666667,0.1520000025
44.txt,12.0,2,2.800000012,217.94899747666668,8.547000249,0.16349999599999998
45.txt,9.352999687,2,1.3460000159999999,221.51899847333334,8.438666660666668,0.188000001
