文本编号,多样性-LDVOCDa（51）,密度-WRDFRQC（94）,年级,复杂度-K
1.txt,59.24900055,2.395999908,1,7.414108719391692
10.txt,89.56600189,2.27699995,1,2.300344143671282
100.txt,106.9749985,2.260999918,1,-2.0142090308042953
11.txt,77.30200195,2.480000019,1,2.166096511211421
13.txt,94.19300079,2.359999895,1,3.8846537546282747
14.txt,82.52700043,2.240999937,1,3.6378490244391912
15.txt,99.375,2.431999922,1,5.659923039475416
16.txt,96.17099762,2.339999914,1,4.887508368066477
17.txt,78.78600311,2.252000093,1,-2.557783182667592
19.txt,113.7450027,2.171000004,1,-3.9817286150395574
2.txt,73.51599884,2.270999908,1,1.3615877727541204
21.txt,80.31999969,2.444000006,1,3.7402799227789103
22.txt,110.8669968,2.348999977,1,5.476337624968508
23.txt,125.4280014,2.415999889,1,2.118406387245628
24.txt,75.04000092,2.415999889,1,2.4751191985620835
25.txt,71.77400208,2.278000116,1,3.02460149438312
26.txt,71.76899719,2.430000067,1,1.248498450591228
27.txt,86.05799866,2.354000092,1,1.8467405350572648
28.txt,84.60700226,2.322000027,1,-1.3438349997498023
3.txt,90.97899628,2.454999924,1,2.0601167380108905
31.txt,76.24900055,2.272000074,1,3.376772031153095
32.txt,79.76899719,2.358999968,1,0.054475665194274825
33.txt,87.94000244,2.154999971,1,-0.17232088639855192
34.txt,113.7890015,2.378999949,1,4.7571507524803565
35.txt,87.13500214,2.316999912,1,-0.9655791530841213
36.txt,88.46600342,2.289999962,1,3.052450399175541
37.txt,67.24700165,2.404000044,1,2.6593571867058756
38.txt,74.9260025,2.426000118,1,6.469054756793042
39.txt,80.26200104,2.480999947,1,3.056315681931949
4.txt,60.00699997,2.367000103,1,-1.069010455395329
40.txt,92.04799652,2.381000042,1,3.690982605065045
41.txt,95.44200134,2.232000113,1,-2.1104849906697183
42.txt,70.95600128,2.085999966,1,-2.1209137911637015
43.txt,90.67500305,2.279000044,1,-3.855510668503868
44.txt,105.3249969,2.301000118,1,1.5820338894459667
45.txt,75.52300262,2.358999968,1,0.463238291721467
46.txt,110.3379974,2.127000093,1,-0.9577457875351314
47.txt,74.23000336,2.382999897,1,4.602210076935393
49.txt,73.68299866,2.467000008,1,5.1885779687767695
5.txt,62.77099991,2.318000078,1,0.8797236348777062
